@relation 'mxmh_survey_results1-weka.filters.unsupervised.attribute.NumericCleaner-min50.0-min-default50.0-max220.0-max-default220.0-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals-1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute Age numeric
@attribute 'While working' {Yes,No}
@attribute 'Fav genre' {Latin,Rock,'Video game music',Jazz,R&B,'K pop',Country,EDM,'Hip hop',Pop,Rap,Classical,Metal,Folk,Lofi,Gospel}
@attribute Exploratory {Yes,No}
@attribute Anxiety numeric
@attribute Depression numeric
@attribute 'Music effects' {'No effect',Improve,Worsen}

@data
21,Yes,Pop,Yes,9,7,Improve
22,Yes,'Video game music',No,5,3,Improve
23,Yes,Rock,Yes,10,7,Improve
13,Yes,Folk,No,8,0,Improve
19,Yes,'K pop',Yes,6,0,Improve
33,Yes,Rock,No,7,9,Improve
18,Yes,Jazz,Yes,3,2,Improve
17,Yes,Classical,Yes,4,2,Improve
16,Yes,EDM,Yes,4,2,Improve
18,No,Rock,Yes,5,3,'No effect'
19,Yes,'K pop',Yes,4,2,Improve
15,No,Rap,Yes,4,0,'No effect'
17,Yes,Pop,Yes,7,6,Improve
25,Yes,Lofi,Yes,7,8,Improve
24,Yes,'Video game music',No,3,4,Improve
23,Yes,Jazz,Yes,9,7,Improve
16,Yes,EDM,Yes,10,9,Improve
25,Yes,Metal,Yes,9,9,Improve
16,Yes,EDM,Yes,8,10,Improve
20,No,Metal,Yes,8,9,Improve
17,Yes,Metal,Yes,5,6,Improve
29,Yes,Metal,Yes,9,3,Improve
20,Yes,'Hip hop',Yes,3,2,Improve
16,Yes,Folk,Yes,7,7,Improve
21,Yes,Rock,Yes,7,9,Improve
16,Yes,Rock,Yes,5,1,Improve
43,Yes,Pop,Yes,3,3,Improve
32,Yes,Classical,Yes,8,7,Improve
10,Yes,Pop,Yes,8,2,Improve
27,Yes,Metal,Yes,4,0,Improve
24,Yes,Classical,No,9,6,Improve
18,Yes,'Hip hop',Yes,10,7,Improve
17,Yes,Rock,No,8,7,Improve
19,Yes,Metal,Yes,1,0,Improve
16,Yes,Rock,Yes,5,7,Improve
64,Yes,Rock,Yes,7,6,Improve
33,Yes,Lofi,Yes,8,8,Improve
32,Yes,Rock,No,2,2,'No effect'
15,Yes,Pop,Yes,6,0,Improve
27,Yes,Metal,Yes,2,0,Improve
20,Yes,Rock,Yes,6,2,'No effect'
23,Yes,Pop,Yes,6,1,Improve
19,No,Classical,Yes,7,6,Improve
12,Yes,Classical,No,0,0,Improve
16,Yes,Classical,No,9,7,'No effect'
17,No,'Video game music',No,10,0,'No effect'
14,Yes,Pop,Yes,6,6,Improve
32,Yes,Metal,Yes,4,3,Improve
20,Yes,Pop,No,6,2,'No effect'
54,Yes,Classical,No,2,2,Improve
18,Yes,'K pop',Yes,7,4,Improve
14,Yes,Classical,Yes,7,5,Improve
13,Yes,Classical,Yes,8,5,Improve
19,Yes,Country,Yes,7,5,Improve
14,Yes,Classical,Yes,6,8,Improve
14,No,Classical,Yes,1,2,Improve
18,Yes,Rap,Yes,3,2,Improve
15,Yes,Folk,Yes,6,7,Improve
24,Yes,Classical,No,6,7,'No effect'
17,Yes,Pop,No,9,8,Improve
44,No,Rock,Yes,7,7,Improve
23,No,Rock,Yes,1,0,Improve
21,No,Rap,No,4,3,Improve
57,No,R&B,Yes,2,0,Improve
23,Yes,Rock,Yes,0,5,'No effect'
18,Yes,Pop,No,8,7,Improve
26,Yes,'Hip hop',Yes,5,10,'No effect'
13,Yes,Classical,No,8,7,Improve
15,Yes,Classical,Yes,9,6,Improve
57,Yes,Rock,Yes,2,2,'No effect'
12,Yes,Classical,Yes,7,8,Improve
26,Yes,EDM,No,10,10,'No effect'
17,Yes,Country,No,8,5,Improve
17,Yes,Classical,Yes,7,8,Improve
69,Yes,Classical,Yes,1,1,Improve
17,Yes,R&B,Yes,9,10,'No effect'
32,Yes,Jazz,Yes,9,4,Improve
22,No,Classical,Yes,8,2,'No effect'
38,No,Metal,Yes,1,1,Improve
18,Yes,EDM,Yes,10,9,Improve
14,Yes,Classical,Yes,3,0,Improve
14,Yes,'Video game music',Yes,4,0,Improve
19,Yes,Metal,Yes,2,3,Improve
20,Yes,Classical,Yes,2,3,Improve
18,No,Rock,Yes,8,4,Improve
30,Yes,'K pop',Yes,10,10,Improve
31,Yes,Classical,Yes,8,8,Improve
72,Yes,Rock,No,0,1,Improve
73,Yes,R&B,Yes,5,4,Improve
16,Yes,Pop,Yes,7.5,5,Improve
19,No,Rap,Yes,3,3,Improve
16,Yes,Classical,No,7,5,Improve
12,Yes,Classical,Yes,8,0,Improve
39,Yes,'Hip hop',Yes,6,4,Improve
15,Yes,'K pop',Yes,8,8,'No effect'
14,Yes,R&B,Yes,10,8,Improve
21,No,Country,No,3,0,Improve
38,Yes,'Video game music',No,5,5,Worsen
23,No,'Hip hop',Yes,7,7,Improve
16,No,EDM,Yes,7,4,Improve
21,Yes,Folk,No,3,3,?
13,Yes,Rap,Yes,4,0,Worsen
16,Yes,Rock,Yes,3,0,Improve
18,Yes,Rock,Yes,5,1,Improve
21,Yes,Metal,Yes,10,6,Improve
17,Yes,Classical,Yes,7,5,'No effect'
24,Yes,Rock,Yes,7,7,'No effect'
14,Yes,Pop,Yes,6,0,Improve
25,Yes,Rock,Yes,6,2,Improve
22,Yes,Lofi,Yes,7,6,Improve
20,Yes,Rock,Yes,5,7,'No effect'
23,Yes,Pop,No,7,6,Improve
61,Yes,Rock,Yes,2,2,Improve
24,Yes,'Video game music',No,9,5,Improve
34,No,Rock,No,3,7,Worsen
49,No,Pop,Yes,4,5,Improve
33,Yes,Rock,Yes,1,0,Improve
22,No,Metal,No,3,2,'No effect'
38,Yes,Metal,Yes,1,6,Improve
23,No,'Hip hop',Yes,8,10,'No effect'
34,No,'Video game music',No,8,10,'No effect'
40,Yes,Metal,Yes,3,0,'No effect'
27,No,'Hip hop',Yes,3,4,Improve
54,Yes,Rock,Yes,2,1,Improve
16,No,Rock,Yes,0,0,'No effect'
23,Yes,'Video game music',No,8,8,Improve
35,No,Country,Yes,1,1,'No effect'
22,Yes,Folk,Yes,8,7,Improve
41,No,Metal,Yes,6,5,'No effect'
63,Yes,Rock,Yes,5,4,Improve
28,No,Rock,Yes,3,1,'No effect'
22,Yes,Country,Yes,4,8,Improve
58,Yes,Rock,Yes,5,6,Improve
58,Yes,Classical,Yes,0,0,Improve
67,Yes,Rock,No,7,6,Improve
70,Yes,Country,No,8,5,Improve
60,Yes,Rock,No,4,4,Improve
15,Yes,Pop,Yes,9,8,Improve
18,Yes,EDM,Yes,5,5,Improve
58,Yes,'Hip hop',Yes,4,6,Improve
28,Yes,Lofi,Yes,4,8,Improve
22,Yes,Lofi,Yes,9,10,Improve
49,No,Classical,No,3,2,Improve
20,Yes,Rock,Yes,6,2,Improve
55,Yes,Rock,No,2,0,'No effect'
48,Yes,Metal,No,10,8,Improve
14,Yes,'K pop',Yes,4,4,Improve
18,Yes,Pop,Yes,7,8,Improve
25,Yes,Pop,Yes,7,6,Improve
71,Yes,Gospel,No,1,0,Improve
60,No,Gospel,No,6,2,Improve
18,Yes,'Video game music',No,4,5,'No effect'
19,Yes,'Hip hop',No,10,7,Improve
74,No,Pop,No,4,2,Improve
36,Yes,'Hip hop',No,7,6,Improve
14,Yes,Lofi,Yes,3,2,Improve
20,No,'Hip hop',Yes,10,7,Improve
15,Yes,'K pop',Yes,4,0,'No effect'
19,Yes,Rock,No,7,7,Improve
29,Yes,EDM,No,6,7,Improve
24,Yes,Metal,Yes,7,6,Improve
18,Yes,Pop,Yes,6,5,Improve
21,Yes,Rock,Yes,10,10,Improve
19,Yes,'K pop',Yes,7,6,Improve
25,No,'Video game music',Yes,3,0,Improve
28,Yes,Rock,Yes,8,2,'No effect'
27,Yes,Rap,Yes,7,6,Improve
60,No,Rock,Yes,3,2,'No effect'
25,No,Metal,No,8,2,Improve
60,Yes,Rock,No,7,7,Improve
43,No,Country,No,5,1,Improve
51,Yes,Rock,No,1,2,'No effect'
63,Yes,Rock,Yes,2,1,Improve
64,Yes,Classical,No,5,2,Improve
22,Yes,Pop,No,7,2,Improve
24,Yes,Folk,No,10,10,Improve
19,Yes,Pop,Yes,7,2,Improve
56,Yes,Pop,Yes,6,4,Improve
20,No,EDM,Yes,5,9,Improve
19,Yes,'Video game music',No,7,5,Improve
20,Yes,Jazz,Yes,7,6,Improve
60,Yes,Rock,No,0,0,Improve
65,Yes,R&B,No,3,5,'No effect'
28,No,Metal,Yes,8,8,Improve
18,Yes,EDM,No,8,7,Improve
42,Yes,Rock,No,2,4,Improve
80,Yes,Classical,No,7,3,Improve
22,No,Pop,Yes,8,7,Improve
56,No,Jazz,Yes,0,0,'No effect'
20,Yes,Pop,No,8,6,Improve
15,Yes,'Video game music',Yes,4,2,Improve
67,No,Rock,No,3,2,?
57,Yes,Gospel,No,6,4,Improve
22,Yes,Pop,Yes,8,8,Improve
17,Yes,Pop,Yes,5,5,Improve
19,Yes,Rock,No,10,8,'No effect'
50,No,Rock,No,0,0,Improve
24,Yes,Rock,Yes,8,8,Improve
67,No,Rock,Yes,8,2,'No effect'
18,Yes,Metal,Yes,7,8,Improve
20,Yes,Country,No,0,2,Improve
15,Yes,Pop,Yes,3,5,Improve
17,Yes,Pop,Yes,5,2,Improve
32,Yes,Folk,Yes,6,1,Improve
18,No,Rap,Yes,6,3,Improve
18,Yes,Rock,Yes,5,6,Improve
